TN	T-P	DIN	NH4	NO3	DIP	PO4
4.338	0.139	4.058	1.008464179	2.263	0.032	0.089442719
3.497	0.156	2.955	0.664830806	1.897	0.029	0.083666003
4.734	0.099	4.337	1.238951169	2.214	0.036	0.083666003
4.653	0.153	4.278	1.31072499	1.887	0.053	0.141421356
3.645	0.153	3.312	1.230447073	1.248	0.068	0.202484567
3.961	0.264	3.846	0.904433524	2.114	0.19	0.392428337
3.724	0.21	3.077	0.71484264	1.789	0.052	0.122474487
3.134	0.141	2.739	0.640312424	1.654	0.058	0.164316767
3.072	0.193	2.599	0.651152824	1.43	0.032	0.09486833
2.594	0.162	2.251	0.661059755	1.084	0.077	0.225831796
3.16	0.165	2.659	0.577061522	1.479	0.037	0.063245553
4.052	0.179	4.047	1.210784869	1.503	0.107	0.260768096
2.32	0.183	2.031	0.813019065	0.846	0.115	0.32249031
2.804	0.162	2.566	0.696419414	1.656	0.107	0.316227766
2.357	0.176	2.128	0.546808925	1.147	0.106	0.298328678
2.685	0.219	2.353	0.628490254	1.184	0.089	0.260768096
2.448	0.291	1.969	0.790569415	0.67	0.125	0.317804972
2.572	0.248	2.332	0.772010363	1.277	0.141	0.356370594
2.59	0.202	2.239	0.732802838	1.069	0.111	0.288097206
2.734	0.144	2.688	0.748999332	1.637	0.105	0.316227766
3.072	0.097	2.83	0.66633325	1.904	0.026	0.077459667
2.133	0.137	2.046	0.763544367	1.339	0.07	0.250998008
3.058	0.109	2.861	0.755645419	1.608	0.054	0.197484177
2.639	0.128	2.332	0.465832588	1.606	0.047	0.178885438
4.22	0.132	4	1.122942563	2.003	0.037	0.141421356
4.431	0.145	4.222	1.10317723	2.224	0.039	0.158113883
4.478	0.089	4.266	0.677495387	2.947	0.023	0.083666003
4.152	0.074	3.963	0.658786764	2.726	0.023	0.077459667
4.593	0.078	4.323	0.744983221	3.001	0.026	0.063245553
4.05	0.241	3.888	1.203328717	1.815	0.193	0.428952212
4.138	0.12	4.074	0.869482605	2.601	0.067	0.244948974
4.941	0.085	4.75	1.150651989	2.724	0.044	0.178885438
4.019	0.191	3.761	0.878066057	2.482	0.115	0.336154726
5.465	0.121	5.104	1.223928102	2.939	0.029	0.104880885
6.33	0.094	5.834	1.457737974	3.264	0.024	0.09486833
7.131	0.13	6.675	1.487615542	3.766	0.024	0.054772256
6.736	0.076	6.556	1.544668249	3.546	0.047	0.122474487
7.693	0.095	7.281	1.802775638	3.201	0.033	0.04472136
8.301572	0.075	7.608143	1.992485885	3.228857	0.028	0.06436614
10.741	0.307	9.723	2.159629598	2.648	0.029	0.063245553
9.19	0.18	8.18	2.223285857	2.694	0.03	0.083666003
8.791	0.161	8.134	1.976107285	2.749	0.027	0.089442719
9.546	0.145	8.751	2.158703314	2.68	0.037	0
9.326	0.117	9.049	2.175316069	2.911	0.036	0.083666003
9.933	0.134	9.662	2.360932019	2.548	0.046	0.104880885
10.673	0.146	10.217	2.469412886	2.323	0.078	0.228035085
4.890714	0.198143	4.608428	1.20664825	2.419286	0.117	0.333809826
4.278	0.195	4.003	0.8336666	2.598	0.109	0.328633535
4.723	0.142	4.096	1.065363788	2.32	0.029	0.134164079
5.701	0.132	4.949	1.326649916	2.211	0.04	0.089442719
6.783	0.118	6.153	1.98871818	1.256	0.06	0.1
